Program Code,Program,seq,PSLOID,Program Outcome
CC_ANC,"Animal Care, Certificate of Completion",1,CC_ANC_PSLO1,Demonstrate skills and experience required to take part in basic animal care activities.
CC_ANC,"Animal Care, Certificate of Completion",2,CC_ANC_PSLO2,"Independently recall and perform best practices while participating in work activities alone or with faculty, managers, staff, students and customers."
AAT_ANT,"Anthropology, Associate in Arts Degree for Transfer",1,AAT_ANT_PSLO1,"Evaluate the cultural and biological differences and similarities throughout the world through knowledge gained by studying the holistic nature of the four-fields: physical/biological anthropology, cultural anthropology, linguistic anthropology, and archaeology."
AAT_ANT,"Anthropology, Associate in Arts Degree for Transfer",2,AAT_ANT_PSLO2,"Describe and define anthropological research methods, ethical concerns, and apply anthropological theories as used in past and current practice by anthropologists to develop solutions to real world issues."
AAT_ANT,"Anthropology, Associate in Arts Degree for Transfer",3,AAT_ANT_PSLO3,"Summarize and discuss the importance of genetic and molecular principals when studying, identifying, and interpreting the hominin fossil record."
AAT_ANT,"Anthropology, Associate in Arts Degree for Transfer",4,AAT_ANT_PSLO4,Examine and explain the differences between the biological concept of race and the social/political construct use of the term race.
CC_ARB,"Art Basics, Certificate of Completion",1,CC_ARB_PSLO1,"Demonstrate the skills and experience required to take part in basic vocational artistic, assistant, and exhibition activities."
CC_ARB,"Art Basics, Certificate of Completion",2,CC_ARB_PSLO2,"Independently recall and perform best practices while participating in work activities alone or with faculty, managers, staff, students, or customers."
AAT_ARH,"Art History, Associate in Arts Degree for Transfer",1,AAT_ARH_PSLO1,Interpret the major movements and concepts in art history.
AAT_ARH,"Art History, Associate in Arts Degree for Transfer",2,AAT_ARH_PSLO2, Conduct original research in the history of art.
AAT_ARH,"Art History, Associate in Arts Degree for Transfer",3,AAT_ARH_PSLO3,"Comprehend the significance and application of art historical styles, cultures, and artists using appropriate art terminology."
AA_ART,"Art, Associate of Arts Degree",1,AA_ART_PSLO1,Interpret the ideas being communicated by analyzing the visual elements and principles of design.
AA_ART,"Art, Associate of Arts Degree",2,AA_ART_PSLO2,Solve visual problems involving craftsmanship by using the creative process.
AA_ART,"Art, Associate of Arts Degree",3,AA_ART_PSLO3,"Recognize, distinguish, and correlate the basic elements of form and utilize it to make original art."
AA_AHU,"Arts and Humanities, Associate of Arts Degree",1,AA_AHU_PSLO1,Evaluate and interpret the ways in which people through the ages in different cultures have responded to themselves and the world around them in artistic and cultural creation.
AST_BIO,"Biology, Associate in Science Degree for Transfer",1,AST_BIO_PSLO1,"Explain three fundamental processes present in biology such as metabolism, homeostasis, growth, reproduction, development, genetics or organism physiology."
AST_BIO,"Biology, Associate in Science Degree for Transfer",2,AST_BIO_PSLO2,"Given the appropriate laboratory setting, design and apply the process of science to address a hypothesis."
AST_BIO,"Biology, Associate in Science Degree for Transfer",3,AST_BIO_PSLO3,Communicate biological concepts effectively in written and/or oral forms.
AST_BIO,"Biology, Associate in Science Degree for Transfer",4,AST_BIO_PSLO4,"Find, select and evaluate scientific information present in primary research literature, mass media, online or other sources."
AS_BCP,"Building Codes Professional, Associate of Science Degree",1,AS_BCP_PSLO1,"Assess new and existing residential, commercial, public and industrial buildings, and offer recommendations for property improvement before or after purchase or for a specific project."
AS_BCP,"Building Codes Professional, Associate of Science Degree",2,AS_BCP_PSLO2,"Working with architects, engineers, contractors, and property owners, inspect and evaluate construction plans, use of materials and workmanship to assure they comply and meet minimum code requirements."
CA_BCP,"Building Codes Professional, Certificate of Achievement",1,CA_BCP_PSLO1,"Assess new and existing residential, commercial, public and industrial buildings, and offer recommendations for property improvement before or after purchase or for a specific project."
CA_BCP,"Building Codes Professional, Certificate of Achievement",2,CA_BCP_PSLO2,"Working with architects, engineers, contractors, and property owners, inspect and evaluate construction plans, use of materials and workmanship to assure they comply and meet minimum code requirements."
AST_BA2,"Business Administration 2.0, Associate in Science Degree for Transfer",1,AST_BA2_PSLO1,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibility in todayâ€™s multicultural, team-oriented, changing environment. "
AST_BA2,"Business Administration 2.0, Associate in Science Degree for Transfer",2,AST_BA2_PSLO2,"Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and data-driven approach."
AST_BA2,"Business Administration 2.0, Associate in Science Degree for Transfer",3,AST_BA2_PSLO3,Effectively communicate solutions to business problems using appropriate business terms and strategies.
AST_BA2,"Business Administration 2.0, Associate in Science Degree for Transfer",4,AST_BA2_PSLO4,Formulate strategies that embrace diversity within organizations and create inclusive organizational cultures.
CAC_BEC,"Business Economics, Certificate of Accomplishment",1,CAC_BEC_PSLO1,Demonstrate the ability to make informed business and financial decisions.
CAC_BEC,"Business Economics, Certificate of Accomplishment",2,CAC_BEC_PSLO2,"Apply basic economic theory as it applies to practical business decision making, resource allocation issues, accounting practices, international markets, legal considerations, and consumer behavior patterns."
AS_BUS,"Business, Associate of Science Degree",1,AS_BUS_PSLO1,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in todayâ€™s multicultural, team-oriented, rapidly-changing global environment. "
AS_BUS,"Business, Associate of Science Degree",2,AS_BUS_PSLO2,"Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and data-driven approach."
AS_BUS,"Business, Associate of Science Degree",3,AS_BUS_PSLO3,Effectively communicate solutions to business problems using appropriate business terms and strategies.
AS_BUS,"Business, Associate of Science Degree",4,AS_BUS_PSLO4,Formulate strategies that embrace diversity within organizations and create inclusive organizational cultures. 
CA_BUS,"Business, Certificate of Achievement",1,CA_BUS_PSLO1,Effectively communicate solutions to business problems using appropriate business terms and strategies.
CA_BUS,"Business, Certificate of Achievement",2,CA_BUS_PSLO2,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in todayâ€™s multicultural, team-oriented, rapidly-changing global environment."
AST_CHE,"Chemistry, Associate in Science Degree for Transfer",1,AST_CHE_PSLO1,"Explain three fundamental processes present in chemistry including atomic and molecular structure, chemical equilibrium with applications to acids and bases, thermodynamics, chemical kinetics, and reaction mechanisms."
AST_CHE,"Chemistry, Associate in Science Degree for Transfer",2,AST_CHE_PSLO2,"Given the appropriate laboratory setting, design and apply the process of science to postulate a hypothesis, collect and interpret data and formulate a conclusion."
