Program Code,Program,seq,PSLOID,Program Outcome
CA_EDG,"Educational Studies: General, Certificate of Achievement",3,CA_EDG_PSLO3,"Apply the certificate towards entry into a teaching credential or child development permit program, and/or the certificate may serve to document the acquisition of knowledge and skills relevant for employment as a teacher assistant or support staff in a classroom, school, or related environment."
CA_ESTI,"Educational Studies: STEM: Instructional Technology Support Concentration, Certificate of Achievement",1,CA_ESTI_PSLO1,"Work effectively with students, teachers, parents, colleagues, and administrators in a school and classroom setting."
CA_ESTI,"Educational Studies: STEM: Instructional Technology Support Concentration, Certificate of Achievement",2,CA_ESTI_PSLO2,"Apply knowledge, skills, and experience to make an informed choice to be employed or to continue study in the field of education."
CA_ESTI,"Educational Studies: STEM: Instructional Technology Support Concentration, Certificate of Achievement",3,CA_ESTI_PSLO3,"Apply the certificate towards entry into a teaching credential or child development permit program, and/or the certificate may serve to document the acquisition of knowledge and skills relevant for employment as a teacher assistant or support staff in a classroom, school, or related environment."
CA_ESTM,"Educational Studies: STEM: Math Concentration, Certificate of Achievement",1,CA_ESTM_PSLO1,"Work effectively with students, teachers, parents, colleagues, and administrators in a school and classroom setting."
CA_ESTM,"Educational Studies: STEM: Math Concentration, Certificate of Achievement",2,CA_ESTM_PSLO2,"Apply knowledge, skills, and experience to make an informed choice to be employed or to continue study in the field of education."
CA_ESTM,"Educational Studies: STEM: Math Concentration, Certificate of Achievement",3,CA_ESTM_PSLO3,"Apply the certificate towards entry into a teaching credential or child development permit program, and/or the certificate may serve to document the acquisition of knowledge and skills relevant for employment as a teacher assistant or support staff in a classroom, school, or related environment."
CA_ESTS,"Educational Studies: STEM: Science Concentration, Certificate of Achievement",1,CA_ESTS_PSLO1,"Work effectively with students, teachers, parents, colleagues, and administrators in a school and classroom setting"
CA_ESTS,"Educational Studies: STEM: Science Concentration, Certificate of Achievement",2,CA_ESTS_PSLO2,"Apply knowledge, skills, and experience to make an informed choice to be employed or to continue study in the field of education."
CA_ESTS,"Educational Studies: STEM: Science Concentration, Certificate of Achievement",3,CA_ESTS_PSLO3,"Apply the certificate towards entry into a teaching credential or child development permit program, and/or the certificate may serve to document the acquisition of knowledge and skills relevant for employment as a teacher assistant or support staff in a classroom, school, or related environment."
CA_ETC,"Educational Studies: Teach Your Career/Community College Teaching, Certificate of Achievement",1,CA_ETC_PSLO1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education"
CA_ETC,"Educational Studies: Teach Your Career/Community College Teaching, Certificate of Achievement",2,CA_ETC_PSLO2,"Upon successful completion of certificate courses students will be able to document knowledge and skills relevant for effective teaching in a Career Education community college classroom including applying the principles of sound instructional techniques and culturally responsive teaching,
evaluating student performance, demonstrating application of appropriate teaching styles and modalities for diverse student populations at the community college."
AAT_ETE,"Elementary Teacher Education, Associate in Arts Degree for Transfer",1,AAT_ETE_PSLO1,Make an informed decision regarding pursuing a multiple subject teaching credential and be eligible for a seamless transfer to a CSU Teacher Preparation Pathway.
AAT_ETE,"Elementary Teacher Education, Associate in Arts Degree for Transfer",2,AAT_ETE_PSLO2,"Work effectively with students, teachers, parents, colleagues, and administrators in a school and classroom setting."
AA_EMH,"Emergency Management/Homeland Security, Associate of Arts Degree",1,AA_EMH_PSLO1,Recognize the types of hazards that can negatively impact a community and assess the variables that impact this type of hazard exposure.
AA_EMH,"Emergency Management/Homeland Security, Associate of Arts Degree",2,AA_EMH_PSLO2,Distinguish some of the fundamental roles and responsibilities of the professional emergency manager established by the Emergency Management Institute.
AA_EMH,"Emergency Management/Homeland Security, Associate of Arts Degree",3,AA_EMH_PSLO3,"Demonstrate effective skills using well established problem-solving, communication and interpersonal techniques."
CA_EMH,"Emergency Management/Homeland Security, Certificate of Achievement",1,CA_EMH_PSLO1,Recognize the types of hazards that can negatively impact a community and assess the variables that impact this type of hazard exposure.
CA_EMH,"Emergency Management/Homeland Security, Certificate of Achievement",2,CA_EMH_PSLO2,Distinguish some of the fundamental roles and responsibilities of the professional emergency manager established by the Emergency Management Institute.
CA_EMH,"Emergency Management/Homeland Security, Certificate of Achievement",3,CA_EMH_PSLO3,"Demonstrate effective skills using well established problem-solving, communication and interpersonal techniques."
AA_EMC,"Emergency Management/Homeland Security: Criminal Justice, Associate of Arts Degree",1,AA_EMC_PSLO1,"Classify the roles, functions and interdependency between local, state, federal and international law enforcement to effectively coordinate disaster events."
AA_EMC,"Emergency Management/Homeland Security: Criminal Justice, Associate of Arts Degree",2,AA_EMC_PSLO2,"Identify, describe and analyze the wide range of threats to national security, including transportation, border and cyber-security."
AA_EMC,"Emergency Management/Homeland Security: Criminal Justice, Associate of Arts Degree",3,AA_EMC_PSLO3,Demonstrate effective communication skills and appreciation for diverse communities to provide leadership during critical incidents.
CC_ESB,"English as a Second Language Beginning-Level Skills, Certificate of Completion",1,CC_ESB_PSLO1,Communicate basic personal information in spoken English following conventions of grammar and pronunciation.
CC_ESB,"English as a Second Language Beginning-Level Skills, Certificate of Completion",2,CC_ESB_PSLO2,Ask basic questions in English following conventions of pronunciation and grammar.
CC_ESB,"English as a Second Language Beginning-Level Skills, Certificate of Completion",3,CC_ESB_PSLO3,"Complete a basic paper and pencil or online application form in English following conventions of spelling, grammar, and mechanics."
COMP_ESH,"English as a Second Language High Beginning Skills, Certificate of Competency",1,COMP_ESH_PSLO1,Correctly identify the main idea and supporting details after reading a text paragraph.
COMP_ESH,"English as a Second Language High Beginning Skills, Certificate of Competency",2,COMP_ESH_PSLO2,"Given writing prompts, compose grammatically correct English sentences in the present, present progressive, past, and future tenses. "
COMP_ESH,"English as a Second Language High Beginning Skills, Certificate of Competency",3,COMP_ESH_PSLO3,"In a spontaneous conversation, ask and answer questions correctly and appropriately"
COMP_ESI,"English as a Second Language High Intermediate Skills, Certificate of Competency",1,COMP_ESI_PSLO1,Complete college-level academic tasks in reading and writing such as analysis of reading passages and the generation of standard paragraphs.
COMP_ESI,"English as a Second Language High Intermediate Skills, Certificate of Competency",2,COMP_ESI_PSLO2,Complete college-level academic tasks in listening and speaking such as note-taking from verbal input and discussing content.
CC_ESO,"English as a Second Language Intermediate to Advanced Oral/Aural Skills, Certificate of Completion",1,CC_ESO_PSLO1,"Take notes while listening to lectures, dialogues, and narratives."
CC_ESO,"English as a Second Language Intermediate to Advanced Oral/Aural Skills, Certificate of Completion",2,CC_ESO_PSLO2,"Develop proficiency in pronouncing phonemes and using correct English language stress, pitch, and intonation patterns."
CC_ESO,"English as a Second Language Intermediate to Advanced Oral/Aural Skills, Certificate of Completion",3,CC_ESO_PSLO3,Recognize and use the most common English idioms and expressions appropriately.
CC_ESO,"English as a Second Language Intermediate to Advanced Oral/Aural Skills, Certificate of Completion",4,CC_ESO_PSLO4,Participate in discussions by asking and answering appropriate questions.
COMP_ESL,"English as a Second Language Low Beginning Skills, Certificate of Competency",1,COMP_ESL_PSLO1,"Given writing prompts, write simple grammatically-correct English sentences with subjects, verbs, and objects."
COMP_ESL,"English as a Second Language Low Beginning Skills, Certificate of Competency",2,COMP_ESL_PSLO2,"Given a short reading passage, explain its content in complete sentences."
COMP_ESL,"English as a Second Language Low Beginning Skills, Certificate of Competency",3,COMP_ESL_PSLO3,Respond correctly and appropriately to simple spoken commands in English.
COMP_ESM,"English as a Second Language Low Intermediate Skills, Certificate of Competency",1,COMP_ESM_PSLO1,"Given a simplified text, identify the main idea and supporting details."
COMP_ESM,"English as a Second Language Low Intermediate Skills, Certificate of Competency",2,COMP_ESM_PSLO2,"Express original ideas in appropriate, grammatically-correct sentences in response to level-appropriate readings in academic and real-world settings."
COMP_ESM,"English as a Second Language Low Intermediate Skills, Certificate of Competency",3,COMP_ESM_PSLO3,Participate in short spontaneous conversations and accurately report information given by others. 
CC_ESP,"English as a Second Language Preparation for Careers, Certificate of Completion",1,CC_ESP_PSLO1,Identify the main idea and supporting details of a level-appropriate reading selection.
CC_ESP,"English as a Second Language Preparation for Careers, Certificate of Completion",2,CC_ESP_PSLO2,Write a grammatically-correct sentence identifying the main idea of a level-appropriate listening text.
CC_ESP,"English as a Second Language Preparation for Careers, Certificate of Completion",3,CC_ESP_PSLO3,"Respond to a question by writing a short, appropriate paragraph, using correct grammar and punctuation."
AAT_ENG,"English, Associate in Arts Degree for Transfer",1,AAT_ENG_PSLO1,"Write well-organized, well-developed expository essays using Standard English, with a clear thesis statement and supporting topic sentences and supporting details."
AAT_ENG,"English, Associate in Arts Degree for Transfer",2,AAT_ENG_PSLO2,"Search for and find reliable, unbiased sources and use these sources in research papers, using correct MLA documentation."
AAT_ENG,"English, Associate in Arts Degree for Transfer",3,AAT_ENG_PSLO3,"Evaluate a literary work in terms of style and descriptive technique, language, tone, mood, and literary conventions, such as symbolism, imagery, irony, and poetic devices such as meter and rhyme pattern."
AAT_ENG,"English, Associate in Arts Degree for Transfer",4,AAT_ENG_PSLO4,"Analyze a given literary work and explain its relevance to the time period and genre in which it was written as well as the relationship between the events in an authorâ€™s life, time, and culture to the development of his or her writing."
AA_ENG,"English, Associate of Arts Degree",1,AA_ENG_PSLO1,"Write well-organized, well-developed expository essays in a variety of rhetorical modes, using Standard English, with a clear thesis statement and supporting topic sentences and supporting details."
AA_ENG,"English, Associate of Arts Degree",2,AA_ENG_PSLO2,"Search for and find reliable, unbiased sources and to use these sources in research papers, using correct MLA documentation."
AA_ENG,"English, Associate of Arts Degree",3,AA_ENG_PSLO3,"Evaluate a literary work in terms of style and descriptive technique, language, tone, mood, and literary conventions, such as symbolism, imagery, irony, and poetic devices such as meter and rhyme pattern."
AA_ENG,"English, Associate of Arts Degree",4,AA_ENG_PSLO4,"Analyze a given literary work and explain its relevance to the time period and genre in which it was written as well as the relationship between the events in an authorâ€™s life, time, and culture to the development of his or her writing."
CA_ESB2,"Entrepreneurship and Small Business Management, Certificate of Achievement",1,CA_ESB2_PSLO1,Effectively communicate solutions to business problems using appropriate business terms and strategies.
CA_ESB2,"Entrepreneurship and Small Business Management, Certificate of Achievement",2,CA_ESB2_PSLO2,"Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and data-driven approach."
CS_ESE,"Entrepreneurship Essentials, Certificate of Specialization",1,CS_ESE_PSLO1,Effectively communicate solutions to business problems using appropriate business terms and strategies.
CS_ESE,"Entrepreneurship Essentials, Certificate of Specialization",2,CS_ESE_PSLO2,"Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and data-driven approach."
AST_ENV,"Environmental Science, Associate in Science Degree for Transfer",1,AST_ENV_PSLO1,Communicate biological concepts effectively in written and/or oral forms.
AST_ENV,"Environmental Science, Associate in Science Degree for Transfer",2,AST_ENV_PSLO2,"Find, select, and evaluate scientific information present in primary research literature, mass media, online, or other sources."
AST_ENV,"Environmental Science, Associate in Science Degree for Transfer",3,AST_ENV_PSLO3,Apply appropriate physical laws and mathematical techniques to analyze various physical situations.
CC_EIP,"ESL Intermediate Preparation for Careers, Certificate of Completion",1,CC_EIP_PSLO1,Identify the main idea and supporting details of a level-appropriate reading selection.
CC_EIP,"ESL Intermediate Preparation for Careers, Certificate of Completion",2,CC_EIP_PSLO2,Write a grammatically-correct paragraph with a topic sentence and supporting details.
CC_EIP,"ESL Intermediate Preparation for Careers, Certificate of Completion",3,CC_EIP_PSLO3,Listen to a short news report or explanation and demonstrate understanding by taking notes and using them to report information to others accurately.
COMP_EPC,"ESL Preparation for College-Level English, Certificate of Competency",1,COMP_EPC_PSLO1,"Apply academic reading, writing, and speaking skills for successful completion of assignments in ENGL C100."
COMP_EDL,"ESL Preparation for Digital Learning, Certificate of Competency",1,COMP_EDL_PSLO1,Send an appropriate email to your instructor using your student email account.
COMP_EDL,"ESL Preparation for Digital Learning, Certificate of Competency",2,COMP_EDL_PSLO2,Log into a course learning management system and submit an assignment through the course learning management system.
AA_FRE,"French, Associate of Arts Degree",1,AA_FRE_PSLO1,Demonstrate appropriate level written and spoken fluency in the language.
AA_FRE,"French, Associate of Arts Degree",2,AA_FRE_PSLO2,Demonstrate understanding and respect for the cultural and global diversity in the francophone countries.
AAT_GEO,"Geography, Associate in Arts Degree for Transfer",1,AAT_GEO_PSLO1,Utilize geographic concepts and tools to assess the manner in which human societies have shaped the natural environment and the implications of these interactions.
AAT_GEO,"Geography, Associate in Arts Degree for Transfer",2,AAT_GEO_PSLO2,"Utilize geographic concepts and tools to analyze the diffusion, evolution, and interaction of different cultures in terms of their spatial, political, economic, and environmental relationships."
AAT_GEO,"Geography, Associate in Arts Degree for Transfer",3,AAT_GEO_PSLO3,"Effectively make, share, analyze, and interpret maps and spatial information using GIS, or another appropriate geographic tool."
AST_GEL,"Geology, Associate in Science Degree for Transfer",1,AST_GEL_PSLO1,Communicate scientific concepts effectively in written and/or oral forms
AST_GEL,"Geology, Associate in Science Degree for Transfer",2,AST_GEL_PSLO2,"Find, select, and evaluate scientific information present in primary research literature, mass media, online, or other sources."
AST_GEL,"Geology, Associate in Science Degree for Transfer",3,AST_GEL_PSLO3,Design and apply the process of science to address a hypothesis in a laboratory setting.
CS_GBE,"Global Business Essentials, Certificate of Specialization",1,CS_GBE_PSLO1,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in todayâ€™s multicultural, team-oriented, rapidly changing global environment."
CS_GBE,"Global Business Essentials, Certificate of Specialization",2,CS_GBE_PSLO2,"Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and data-driven approach."
CA_GBL,"Global Business, Certificate of Achievement",1,CA_GBL_PSLO1,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in todayâ€™s multicultural, team-oriented, rapidly changing global environment."
CA_GBL,"Global Business, Certificate of Achievement",2,CA_GBL_PSLO2,"Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and data-driven approach."
CA_GBL,"Global Business, Certificate of Achievement",3,CA_GBL_PSLO3,Effectively communicate solutions to business problems using appropriate business terms and strategies.
CC_GUS,"Guest Services, Certificate of Completion",1,CC_GUS_PSLO1,Demonstrate skills and experience required to take part in basic guest services activities.
CC_GUS,"Guest Services, Certificate of Completion",2,CC_GUS_PSLO2,"Independently recall and perform best practices while participating in work activities alone or with faculty, managers, fellow staff, fellow students and guests."
CC_HWE,"Health and Wellness for Esports, Certificate of Completion",1,CC_HWE_PSLO1,Explain how concepts of health and wellness impact short-term and long-term gaming sessions.
CC_HWE,"Health and Wellness for Esports, Certificate of Completion",2,CC_HWE_PSLO2,Develop wellness program for optimal performance and injury risk mitigation in esports.
AS_HCM,"Health Care Management, Associate of Science Degree",1,AS_HCM_PSLO1,Apply the principles and legal regulations of healthcare management to real-world situations.
AS_HCM,"Health Care Management, Associate of Science Degree",2,AS_HCM_PSLO2,Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting.
AS_HCM,"Health Care Management, Associate of Science Degree",3,AS_HCM_PSLO3,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in todayâ€™s multicultural, team-oriented, rapidly changing healthcare/management environment. "
CA_HCM,"Health Care Management, Certificate of Achievement",1,CA_HCM_PSLO1,Apply the principles and legal regulations of healthcare management to real-world situations.
CA_HCM,"Health Care Management, Certificate of Achievement",2,CA_HCM_PSLO2,Use appropriate terminology and concepts to communicate solutions to management issues in an organizational healthcare setting.
CA_HCM,"Health Care Management, Certificate of Achievement",3,CA_HCM_PSLO3,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in todayâ€™s multicultural, team-oriented, rapidly changing healthcare/management environment. "
AA_HSC,"Health Science, Associate of Arts Degree",1,AA_HSC_PSLO1,"Apply major theories and concepts of health, nutrition, and kinesiology to facilitate behavior change for lifestyle modification."
AA_HSC,"Health Science, Associate of Arts Degree",2,AA_HSC_PSLO2,Critically evaluate health-related information and scientific research to formulate opinions/ideas.
AA_HSC,"Health Science, Associate of Arts Degree",3,AA_HSC_PSLO3,"Utilize interdisciplinary knowledge to design, implement, and evaluate wellness and health promotion programming."
AAT_HIS,"History, Associate in Arts Degree for Transfer",1,AAT_HIS_PSLO1,"Develop a well-structured argument supported with relevant evidence which evaluates the social, cultural, political and/or economic characteristics of past societies and how and why these characteristics change over time."
AAT_HIS,"History, Associate in Arts Degree for Transfer",2,AAT_HIS_PSLO2,Analyze the meaning of primary and/or secondary historical sources and their significance as evidence.
AAT_HIS,"History, Associate in Arts Degree for Transfer",3,AAT_HIS_PSLO3,Evaluate the impact of social and cultural diversity upon the development of past societies.
AA_HIS,"History, Associate of Arts Degree",1,AA_HIS_PSLO1,"Critically evaluate the social, cultural, political and/or economic characteristics of past societies and explain how and why these characteristics change over time."
AA_HIS,"History, Associate of Arts Degree",2,AA_HIS_PSLO2,Analyze the meaning of primary and/or secondary historical sources and their significance as evidence.
AA_HIS,"History, Associate of Arts Degree",3,AA_HIS_PSLO3,Evaluate the impact of social and cultural diversity upon the development of past societies.
CS_TSA,"Homeland Security (TSA), Certificate of Specialization",1,CS_TSA_PSLO1,Recognize the types of hazards that can negatively impact a community and assess the variables that impact this type of hazard exposure.
CS_TSA,"Homeland Security (TSA), Certificate of Specialization",2,CS_TSA_PSLO2,Distinguish some of the fundamental roles and responsibilities of the professional emergency manager established by the Emergency Management Institute.
CS_TSA,"Homeland Security (TSA), Certificate of Specialization",3,CS_TSA_PSLO3,"Demonstrate effective skills using well established problem-solving, communication and interpersonal techniques."
CC_HOR,"Horticulture, Certificate of Completion",1,CC_HOR_PSLO1,"Demonstrate the knowledge, skills, and experience required to work in basic groundskeeping, gardening, nursery, and farming activities."
CC_HOR,"Horticulture, Certificate of Completion",2,CC_HOR_PSLO2,"Independently recall and perform best practices of horticulture settings while participating in work activities independently or with faculty, managers, customers, work staff and students."
AS_HRM,"Human Resources Management, Associate of Science Degree",1,AS_HRM_PSLO1,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in todayâ€™s multicultural, team-oriented, rapidly-changing global environment. "
AS_HRM,"Human Resources Management, Associate of Science Degree",2,AS_HRM_PSLO2,"Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and data-driven approach."
AS_HRM,"Human Resources Management, Associate of Science Degree",3,AS_HRM_PSLO3,Effectively communicate solutions to business problems using appropriate business terms and strategies.
AS_HRM,"Human Resources Management, Associate of Science Degree",4,AS_HRM_PSLO4,Formulate strategies that embrace diversity within organizations and create inclusive organizational cultures. 
CA_HRM,"Human Resources Management, Certificate of Achievement",1,CA_HRM_PSLO1,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in todayâ€™s multicultural, team-oriented, rapidly-changing global environment. "
CA_HRM,"Human Resources Management, Certificate of Achievement",2,CA_HRM_PSLO2,"Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and data-driven approach."
CA_HRM,"Human Resources Management, Certificate of Achievement",3,CA_HRM_PSLO3,Effectively communicate solutions to business problems using appropriate business terms and strategies.
AA_HUS,"Human Services, Associate of Arts Degree",1,AA_HUS_PSLO1,Utilize human services helping skills and resources to enhance career prospects.
AA_HUS,"Human Services, Associate of Arts Degree",2,AA_HUS_PSLO2,Demonstrate intervention skills within fields of human services.
CAC_HUS,"Human Services, Certificate of Accomplishment",1,CAC_HUS_PSLO1,Utilize human services helping skills and resources to enhance career prospects.
CAC_HUS,"Human Services, Certificate of Accomplishment",2,CAC_HUS_PSLO2,Demonstrate intervention skills within fields of human services.
AS_ICS,"Information and Computer Sciences, Associate of Science Degree",1,AS_ICS_PSLO1,"Demonstrate proficiency in various programming languages, software development methodologies, and technology tools commonly used in the field of computer science."
AS_ICS,"Information and Computer Sciences, Associate of Science Degree",2,AS_ICS_PSLO2,"Demonstrate knowledge of information systems concepts, including the design and management of information systems to support organizational goals and decision-making processes."
AS_ICS,"Information and Computer Sciences, Associate of Science Degree",3,AS_ICS_PSLO3,"Design and implement secure software and systems, identify vulnerabilities, and implement countermeasures."
AS_ICS,"Information and Computer Sciences, Associate of Science Degree",4,AS_ICS_PSLO4,"Design, develop, and test software applications and systems that adhere to industry standards and best practices."
CA_ICS,"Information and Computer Sciences, Certificate of Achievement",1,CA_ICS_PSLO1,"Demonstrate proficiency in various programming languages, software development methodologies, and technology tools commonly used in the field of computer science."
CA_ICS,"Information and Computer Sciences, Certificate of Achievement",2,CA_ICS_PSLO2,"Demonstrate knowledge of information systems concepts, including the design and management of information systems to support organizational goals and decision-making processes."
CA_ICS,"Information and Computer Sciences, Certificate of Achievement",3,CA_ICS_PSLO3,"Design and implement secure software and systems, identify vulnerabilities, and implement countermeasures."
CA_ICS,"Information and Computer Sciences, Certificate of Achievement",4,CA_ICS_PSLO4,"Design, develop, and test software applications and systems that adhere to industry standards and best practices."
AS_INF,"Information Technology, Associate of Science Degree",1,AS_INF_PSLO1,Demonstrate the ability to locate technical resources to solve problems with networking hardware and software.
AS_INF,"Information Technology, Associate of Science Degree",2,AS_INF_PSLO2,Demonstrate proficiency with various software packages to solve common networking problems to design and implement a workable solution.
AS_INF,"Information Technology, Associate of Science Degree",3,AS_INF_PSLO3,Build and maintain secure networks.
CA_INF,"Information Technology, Certificate of Achievement",1,CA_INF_PSLO1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions."
CA_INF,"Information Technology, Certificate of Achievement",2,CA_INF_PSLO2,"Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems."
CA_INF,"Information Technology, Certificate of Achievement",3,CA_INF_PSLO3,"Demonstrate the ability to design and implement solutions for networking, system, and cloud operations."
CS_IAC2,"Intermediate Accounting, Certificate of Specialization",1,CS_IAC2_PSLO1,"Accumulate, record, and interpret financial data."
CS_IAC2,"Intermediate Accounting, Certificate of Specialization",2,CS_IAC2_PSLO2,Prepare accurate reports for decision making and regulatory compliance.
CS_IAC2,"Intermediate Accounting, Certificate of Specialization",3,CS_IAC2_PSLO3,Demonstrate understanding of accounting and business terminology.
CC_ICE,"Introduction to Careers in Esports, Certificate of Completion",1,CC_ICE_PSLO1,Identify career options within the gaming and esports industries.
CAC_IPR,"Introduction to Programming, Certificate of Accomplishment",1,CAC_IPR_PSLO1,Demonstrate proficiency and understanding of the software development lifecycle using software application development techniques to solve common business problems by designing and implementing an appropriate solution that meets industry standards.
CAC_IPR,"Introduction to Programming, Certificate of Accomplishment",2,CAC_IPR_PSLO2,Demonstrate the ability to program using Java.
CAC_IPR,"Introduction to Programming, Certificate of Accomplishment",3,CAC_IPR_PSLO3,Demonstrate the ability to develop Web applications using JavaScript.
CA_ITF,"IT Foundation, Certificate of Achievement",1,CA_ITF_PSLO1,Demonstrate the ability to locate technical resources to solve problems with networking hardware and software.
CA_ITF,"IT Foundation, Certificate of Achievement",2,CA_ITF_PSLO2,Demonstrate proficiency with various software packages to solve common networking problems to design and implement a workable solution.
CA_ITF,"IT Foundation, Certificate of Achievement",3,CA_ITF_PSLO3,Build and maintain secure networks.
CA_ITS,"IT Support Specialist, Certificate of Achievement",1,CA_ITS_PSLO1,"Demonstrate the ability to locate technical resources to solve problems with networking, systems, and cloud solutions."
CA_ITS,"IT Support Specialist, Certificate of Achievement",2,CA_ITS_PSLO2,"Demonstrate proficiency with various software packages to solve common networking, system, and cloud problems."
CA_ITS,"IT Support Specialist, Certificate of Achievement",3,CA_ITS_PSLO3,"Demonstrate the ability to design and implement solutions for networking, system, and cloud operations."
COMP_LPC,"Language Preparation for U.S. Citizenship, Certificate of Competency",1,COMP_LPC_PSLO1,"Demonstrate knowledge of U.S. geography, government, and history."
COMP_LPC,"Language Preparation for U.S. Citizenship, Certificate of Competency",2,COMP_LPC_PSLO2,Provide grammatically correct and appropriate responses to USCIS Naturalization Interview Test questions.
COMP_LPC,"Language Preparation for U.S. Citizenship, Certificate of Competency",3,COMP_LPC_PSLO3,Respond correctly and appropriately to spoken commands in English.
AAT_LPP,"Law, Public Policy, and Society, Associate in Arts Degree for Transfer",1,AAT_LPP_PSLO1,Develop legal and critical-thinking skills in judicial issues.
AAT_LPP,"Law, Public Policy, and Society, Associate in Arts Degree for Transfer",2,AAT_LPP_PSLO2,Evaluate legal issues in a variety of different environments.
AAT_LPP,"Law, Public Policy, and Society, Associate in Arts Degree for Transfer",3,AAT_LPP_PSLO3,"Analyze issues by application of relevant rules of law, ethical standards, and social mores."
AA_LST,"Liberal Studies (for Teaching), Associate of Arts Degree",1,AA_LST_PSLO1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education."
AA_LST,"Liberal Studies (for Teaching), Associate of Arts Degree",2,AA_LST_PSLO2,"Document preliminary subject matter competency and ability to work effectively with students, teachers, parents, colleagues, and administrators in a school and classroom setting."
AS_MGA,"Management (Applied), Associate of Science Degree",1,AS_MGA_PSLO1,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in todayâ€™s multicultural, team-oriented, rapidly changing global environment."
AS_MGA,"Management (Applied), Associate of Science Degree",2,AS_MGA_PSLO2,"Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and data-driven approach."
AS_MGA,"Management (Applied), Associate of Science Degree",3,AS_MGA_PSLO3,Effectively communicate solutions to business problems using appropriate business terms and strategies.
AS_MGA,"Management (Applied), Associate of Science Degree",4,AS_MGA_PSLO4,Formulate strategies that embrace diversity within organizations and create inclusive organizational cultures.
AS_MGT,"Management, Associate of Science Degree",1,AS_MGT_PSLO1,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in todayâ€™s multicultural, team-oriented, rapidly changing global environment."
AS_MGT,"Management, Associate of Science Degree",2,AS_MGT_PSLO2,"Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and data-driven approach."
AS_MGT,"Management, Associate of Science Degree",3,AS_MGT_PSLO3,Effectively communicate solutions to business problems using appropriate business terms and strategies.
AS_MGT,"Management, Associate of Science Degree",4,AS_MGT_PSLO4,Formulate strategies that embrace diversity within organizations and create inclusive organizational cultures.
CA_MGT,"Management, Certificate of Achievement",1,CA_MGT_PSLO1,"Effectively communicate solutions to business problems, using appropriate language and tools and demonstrating understanding of business terms and concepts."
CA_MGT,"Management, Certificate of Achievement",2,CA_MGT_PSLO2,"Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and data-driven approach."
CA_MGT,"Management, Certificate of Achievement",3,CA_MGT_PSLO3,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in todayâ€™s multicultural, team-oriented, rapidly-changing global environment."
CA_MGT,"Management, Certificate of Achievement",4,CA_MGT_PSLO4,Formulate strategies that embrace diversity within organizations and create inclusive organizational cultures.
AS_MKT,"Marketing, Associate of Science Degree",1,AS_MKT_PSLO1,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in todayâ€™s multicultural, team-oriented, rapidly-changing global environment. "
AS_MKT,"Marketing, Associate of Science Degree",2,AS_MKT_PSLO2,"Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and data-driven approach. "
AS_MKT,"Marketing, Associate of Science Degree",3,AS_MKT_PSLO3,Effectively communicate solutions to business problems using appropriate business terms and strategies. 
AS_MKT,"Marketing, Associate of Science Degree",4,AS_MKT_PSLO4,Formulate strategies that embrace diversity within organizations and create inclusive organizational cultures. 
CA_MKT,"Marketing, Certificate of Achievement",1,CA_MKT_PSLO1,"Develop and exhibit high standards of professional practice, demonstrating awareness of ethical and social responsibilities in todayâ€™s multicultural, team-oriented, rapidly-changing global environment. "
CA_MKT,"Marketing, Certificate of Achievement",2,CA_MKT_PSLO2,"Analyze and recommend effective business decisions/solutions using a systematic, evaluative, and data-driven approach."
CA_MKT,"Marketing, Certificate of Achievement",3,CA_MKT_PSLO3,Effectively communicate solutions to business problems using appropriate business terms and strategies.
COMP_MWF,"Mathematics for Workforce Developmental Skills, Certificate of Competency",1,COMP_MWF_PSLO1,Perform basic mathematical operations and apply them to consumer applications.
